adjusted_rank,rank,rank_change,major,avg_gpa,pct_A,dfw_rate,ability_proxy_mid,transfer_gpa_25,transfer_gpa_75,transfer_admit_rate,transfer_applicants,residual
1,28,27,Linguistics and English BA,3.37,60.8,4.4,3.285,3.12,3.45,50.0,6,-0.3999
2,4,2,Linguistics and Computer Science BA,3.254,53.6,4.9,3.765,3.63,3.9,40.0,188,-0.2943
3,1,-2,Economics BA,3.168,45.1,4.0,3.955,3.91,4.0,16.0,1517,-0.2926
4,2,-2,Business Economics BA,3.181,46.5,3.8,3.945,3.89,4.0,10.0,3379,-0.2842
5,11,6,Chemistry/Materials Science BS,3.343,57.5,3.9,3.6,3.5,3.7,25.0,8,-0.2815
6,18,12,Atmospheric and Oceanic Sciences BS,3.354,58.3,3.5,3.61,3.37,3.85,20.0,10,-0.2659
7,39,32,Engineering Geology BS,3.403,61.5,3.3,3.55,3.55,3.55,50.0,2,-0.2446
8,26,18,Earth and Environmental Science BA,3.368,59.0,3.2,3.64,3.55,3.73,20.0,45,-0.238
9,23,14,Linguistics and Spanish BA,3.362,60.7,4.5,3.68,3.56,3.8,83.0,6,-0.2255
10,3,-7,Mathematics/Economics BS,3.241,51.7,4.3,3.955,3.91,4.0,35.0,149,-0.2196
11,12,1,Linguistics and Philosophy BA,3.343,58.9,4.6,3.75,3.5,4.0,40.0,15,-0.2122
12,5,-7,Financial Actuarial Mathematics BS,3.27,53.4,3.8,3.94,3.88,4.0,20.0,92,-0.1975
13,62,49,African and Middle Eastern Studies BA,3.474,64.9,2.6,3.5,3.5,3.5,20.0,5,-0.1967
14,21,7,Materials Engineering BS,3.359,58.3,3.4,3.76,3.64,3.88,40.0,43,-0.1916
15,35,20,Linguistics and Asian Languages and Cultures BA,3.395,62.7,4.3,3.72,3.58,3.86,57.0,21,-0.1741
16,34,18,Geology BS,3.393,60.7,3.3,3.745,3.62,3.87,33.0,30,-0.1645
17,27,10,Linguistics and Anthropology BA,3.37,60.8,4.4,3.8,3.72,3.88,55.0,11,-0.1621
18,15,-3,Astrophysics BS,3.351,58.7,3.9,3.85,3.75,3.95,34.0,67,-0.1581
19,10,-9,Chemistry BS,3.34,57.5,3.9,3.9,3.8,4.0,26.0,216,-0.146
20,43,23,Applied Linguistics BA,3.418,63.5,3.4,3.735,3.54,3.93,54.0,41,-0.1442
21,48,27,Anthropology BS,3.427,61.9,3.3,3.73,3.64,3.82,27.0,56,-0.1375
