course_id,subject_area,course_title,avg_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,dfw_rate,total_letter_grades,total_all_grades,total_dfw,total_A,total_B,total_C,total_D,total_F
A&O SCI 1,A&O SCI,Climate Change: From Puzzles to Policy,3.133,47.7,30.32,14.1,5.5,2.39,9.11,1128,1229,112,538,342,159,62,27
A&O SCI 101,A&O SCI,Fundamentals of Atmospheric Dynamics and Thermodynamics,3.116,46.94,30.61,18.37,2.04,2.04,4.0,98,100,4,46,30,18,2,2
A&O SCI 102,A&O SCI,Climate Change and Climate Modeling,3.643,72.11,26.32,1.05,0.0,0.53,0.51,190,195,1,137,50,2,0,1
A&O SCI 103,A&O SCI,Physical Oceanography,3.3,52.07,32.23,12.81,2.48,0.41,2.82,242,248,7,126,78,31,6,1
A&O SCI 104,A&O SCI,Fundamentals of Air and Water Pollution,3.426,56.55,33.55,8.31,0.96,0.64,1.59,313,315,5,177,105,26,3,2
A&O SCI 107,A&O SCI,Biological Oceanography,3.45,59.55,29.55,7.27,2.27,1.36,3.56,220,225,8,131,65,16,5,3
A&O SCI 112,A&O SCI,Climate Change Assessment,3.724,83.33,13.1,2.38,0.0,1.19,1.18,84,85,1,70,11,2,0,1
A&O SCI 121,A&O SCI,Climate Mitigation Solutions,3.467,64.29,28.57,3.57,2.38,1.19,3.53,84,85,3,54,24,3,2,1
A&O SCI 123,A&O SCI,Climate Change Adaptation Challenge,3.884,91.11,8.89,0.0,0.0,0.0,0.0,45,46,0,41,4,0,0,0
A&O SCI 130,A&O SCI,California's Ocean,3.727,81.25,15.62,1.56,0.0,1.56,1.56,64,64,1,52,10,1,0,1
A&O SCI 141,A&O SCI,Introduction to Atmospheric Chemistry and Air Pollution,3.857,90.52,6.9,1.72,0.0,0.86,0.86,116,116,1,105,8,2,0,1
A&O SCI 145,A&O SCI,"Atmospheric Physics: Radiation, Clouds, and Aerosols",3.853,85.29,14.71,0.0,0.0,0.0,0.0,34,34,0,29,5,0,0,0
A&O SCI 180,A&O SCI,Numerical Methods in Atmospheric Sciences,3.745,88.1,9.52,0.0,0.0,2.38,2.33,42,43,1,37,4,0,0,1
A&O SCI 1L,A&O SCI,Climate Change: From Puzzles to Policy--Laboratory,3.651,82.03,9.38,4.69,0.39,3.52,4.15,256,265,11,210,24,12,1,9
A&O SCI 2,A&O SCI,Air Pollution,3.871,91.96,5.61,1.64,0.4,0.4,1.05,2015,2090,22,1853,113,33,8,8
A&O SCI 200A,A&O SCI,Introduction to Atmospheric and Oceanic Fluid,3.772,79.63,18.52,1.85,0.0,0.0,0.0,54,55,0,43,10,1,0,0
A&O SCI 200B,A&O SCI,Introduction to Dynamics of Earth System,3.695,77.42,20.97,1.61,0.0,0.0,0.0,62,63,0,48,13,1,0,0
A&O SCI 200C,A&O SCI,"Introduction to Atmospheric and Oceanic Radiation, Physics, and Chemistry",3.795,88.64,9.09,2.27,0.0,0.0,0.0,44,45,0,39,4,1,0,0
A&O SCI 200D,A&O SCI,Scientific Communication for Atmospheric and Oceanic Scientists,3.796,83.64,14.55,1.82,0.0,0.0,0.0,55,56,0,46,8,1,0,0
