foundation,category,dept_display_name,catalog_number,course_title
Foundations of Arts and Humanities,Literary and Cultural Analysis,African American Studies,1,Introduction to Black Studies
Foundations of Society and Culture,Historical Analysis,African American Studies,1,Introduction to Black Studies
Foundations of Society and Culture,Social Analysis,African American Studies,1,Introduction to Black Studies
Foundations of Arts and Humanities,Literary and Cultural Analysis,African American Studies,M25,Perceptions of Blackness in the Ancient World
Foundations of Society and Culture,Historical Analysis,African American Studies,M25,Perceptions of Blackness in the Ancient World
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,African American Studies,M107,Cultural History of Rap
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,African American Studies,M116A,African American Musical Heritage
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,African American Studies,M116B,African American Musical Heritage
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,10,Jerusalem: Holy City
Foundations of Society and Culture,Historical Analysis,Ancient Near East,10,Jerusalem: Holy City
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,10W,Jerusalem: Holy City
Foundations of Society and Culture,Historical Analysis,Ancient Near East,10W,Jerusalem: Holy City
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,12W,Jerusalem: Holy City
Foundations of Society and Culture,Historical Analysis,Ancient Near East,12W,Jerusalem: Holy City
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,M25,Perceptions of Blackness in the Ancient World
Foundations of Society and Culture,Historical Analysis,Ancient Near East,M25,Perceptions of Blackness in the Ancient World
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,M50A,First Civilizations
Foundations of Society and Culture,Historical Analysis,Ancient Near East,M50A,First Civilizations
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,M50B,"Origins of Judaism, Christianity, and Islam"
Foundations of Society and Culture,Historical Analysis,Ancient Near East,M50B,"Origins of Judaism, Christianity, and Islam"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,M70,"Demons, Fear, and Uncanny in Ancient World"
Foundations of Society and Culture,Historical Analysis,Ancient Near East,M70,"Demons, Fear, and Uncanny in Ancient World"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,M75,"Foundation Myths: Kings, Heroes, and Sorceresses in Ancient and Modern Imaginations"
Foundations of Society and Culture,Historical Analysis,Ancient Near East,M75,"Foundation Myths: Kings, Heroes, and Sorceresses in Ancient and Modern Imaginations"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Ancient Near East,M130,Ancient Egyptian Religion
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Ancient Near East,M130,Ancient Egyptian Religion
Foundations of Arts and Humanities,Literary and Cultural Analysis,Anthropology,M67W,Making and Studying Modern Middle East
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Anthropology,135S,"Sex, Race, and Difference in Transnational Film"
Foundations of Society and Culture,Social Analysis,Anthropology,135S,"Sex, Race, and Difference in Transnational Film"
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Architecture and Urban Design,30,Introduction to Architectural Studies
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art,31A,Rise of Modernism in Global Context
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art,31B,Global Modernism
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art,31C,Modernism and Its Discontents
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,20,Ancient Art
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,20,Ancient Art
Foundations of Society and Culture,Historical Analysis,Art History,20,Ancient Art
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,21,Medieval Art
Foundations of Society and Culture,Historical Analysis,Art History,21,Medieval Art
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,22,Renaissance and Baroque Art
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,22,Renaissance and Baroque Art
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,23,Modern Art
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,23,Modern Art
Foundations of Society and Culture,Historical Analysis,Art History,23,Modern Art
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,24,Architecture in Modern World
Foundations of Society and Culture,Historical Analysis,Art History,24,Architecture in Modern World
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,25,Museum Studies
Foundations of Society and Culture,Social Analysis,Art History,25,Museum Studies
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,26,Technical Art History
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,27,Art and Architecture of Ancient Americas
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,27,Art and Architecture of Ancient Americas
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,28,Arts of Africa
Foundations of Society and Culture,Historical Analysis,Art History,28,Arts of Africa
Foundations of Society and Culture,Social Analysis,Art History,28,Arts of Africa
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,29,Chinese Art
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,29,Chinese Art
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,30,Arts of Japan
Foundations of Society and Culture,Historical Analysis,Art History,30,Arts of Japan
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,31,Art of India and Southeast Asia
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,31,Art of India and Southeast Asia
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,32,Arts of the Mediterranean
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,32,Arts of the Mediterranean
Foundations of Society and Culture,Historical Analysis,Art History,32,Arts of the Mediterranean
Foundations of Society and Culture,Social Analysis,Art History,32,Arts of the Mediterranean
Foundations of Arts and Humanities,Literary and Cultural Analysis,Art History,34,Black Aesthetics
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Art History,34,Black Aesthetics
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Arts and Architecture,10,Arts Encounters: Exploring Arts Literacy in 21st Century
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Arts Education,20,Introduction to Community Engagement through Arts
Foundations of Society and Culture,Social Analysis,Arts Education,20,Introduction to Community Engagement through Arts
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Asian,M20,Visible Language: Study of Writing
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Asian,30,Languages and Cultures of Asia
Foundations of Arts and Humanities,Literary and Cultural Analysis,Asian,40,Foundations of East Asia: Philosophical and Literary Traditions
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Asian,40,Foundations of East Asia: Philosophical and Literary Traditions
Foundations of Arts and Humanities,Literary and Cultural Analysis,Asian,M60,Introduction to Buddhism
Foundations of Arts and Humanities,Literary and Cultural Analysis,Asian,M60W,Introduction to Buddhism
Foundations of Arts and Humanities,Literary and Cultural Analysis,Asian,M61,Introduction to Zen Buddhism
Foundations of Society and Culture,Historical Analysis,Asian,M61,Introduction to Zen Buddhism
Foundations of Arts and Humanities,Literary and Cultural Analysis,Asian American Studies,30,Asian American Literature and Culture
Foundations of Arts and Humanities,Literary and Cultural Analysis,Asian American Studies,30W,Asian American Literature and Culture
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Central and East European Studies,31,"Introduction to Slavic, East European, and Central Asian Cultures through Film"
Foundations of Society and Culture,Social Analysis,Central and East European Studies,31,"Introduction to Slavic, East European, and Central Asian Cultures through Film"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Central and East European Studies,91,Culture and Society in Central and Eastern Europe
Foundations of Arts and Humanities,Literary and Cultural Analysis,Chicana/o and Central American Studies,10A,Introduction to Chicana/Chicano Studies: History and Culture
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Chicana/o and Central American Studies,10A,Introduction to Chicana/Chicano Studies: History and Culture
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Chicana/o and Central American Studies,10A,Introduction to Chicana/Chicano Studies: History and Culture
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Chicana/o and Central American Studies,M103D,Contemporary Chicano Theater: Beginning of Chicano Theater Movement
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Chicana/o and Central American Studies,M108A,"Music of Latin America: Mexico, Central America, and Caribbean Isles"
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Chicana/o and Central American Studies,M116,Chicano/Latino Music in U.S.
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Chinese,30,"Chinese Language, Society, and Culture"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Chinese,40,Popular Culture in Modern Chinese Societies
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Chinese,40,Popular Culture in Modern Chinese Societies
Foundations of Society and Culture,Social Analysis,Chinese,40,Popular Culture in Modern Chinese Societies
Foundations of Arts and Humanities,Literary and Cultural Analysis,Chinese,50,Chinese Civilization
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Chinese,50,Chinese Civilization
Foundations of Society and Culture,Historical Analysis,Chinese,50,Chinese Civilization
Foundations of Arts and Humanities,Literary and Cultural Analysis,Chinese,50W,Chinese Civilization
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Chinese,50W,Chinese Civilization
Foundations of Society and Culture,Historical Analysis,Chinese,50W,Chinese Civilization
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Chinese,M60,Introduction to Chinese Religions
Foundations of Arts and Humanities,Literary and Cultural Analysis,Chinese,70,Ink of Imagination: Exploration of Premodern Chinese Literature
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Chinese,80,"Chinese Cinema: Pictures, Prisms, Products, Projections"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,10,Discovering Greeks
Foundations of Society and Culture,Historical Analysis,Classics,10,Discovering Greeks
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,20,Discovering Romans
Foundations of Society and Culture,Historical Analysis,Classics,20,Discovering Romans
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,30,Classical Mythology
Foundations of Society and Culture,Social Analysis,Classics,30,Classical Mythology
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,40W,Reading Greek Literature: Writing-Intensive
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,42,Cinema and Ancient World
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Classics,42,Cinema and Ancient World
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,48,Ancient Greek and Roman Medicine
Foundations of Society and Culture,Historical Analysis,Classics,48,Ancient Greek and Roman Medicine
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,51A,Art and Archaeology of Ancient Greece
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Classics,51A,Art and Archaeology of Ancient Greece
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,51B,Art and Archaeology of Ancient Rome
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Classics,51B,Art and Archaeology of Ancient Rome
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Classics,52,"Greco-Roman Technologies: Materials, Monuments, Machines"
Foundations of Society and Culture,Historical Analysis,Classics,52,"Greco-Roman Technologies: Materials, Monuments, Machines"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,60,Fantastic Journey: Antiquity and Beyond
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,M75,"Foundation Myths: Kings, Heroes, and Sorceresses in Ancient and Modern Imaginations"
Foundations of Society and Culture,Historical Analysis,Classics,M75,"Foundation Myths: Kings, Heroes, and Sorceresses in Ancient and Modern Imaginations"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,88GE,General Education Seminar Sequences
Foundations of Society and Culture,Historical Analysis,Classics,88GE,General Education Seminar Sequences
Foundations of Arts and Humanities,Literary and Cultural Analysis,Classics,148,Early Greek Medicine and Thought
